tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
ORF_1	-	-	ORF_1	-	-	refORF_1:0-2019	-	-	29.3434	27.3917	31.2952	OK
ORF_2	-	-	ORF_2	-	-	refORF_2:0-1074	-	-	22.9161	20.4508	25.3814	OK
ORF_3	-	-	ORF_3	-	-	refORF_3:0-1284	-	-	118.299	113.298	123.3	OK
ORF_4	-	-	ORF_4	-	-	refORF_4:0-1188	-	-	97.5578	92.7984	102.317	OK
ORF_5	-	-	ORF_5	-	-	refORF_5:0-441	-	-	29.351	24.2205	34.4815	OK
ORF_6	-	-	ORF_6	-	-	refORF_6:0-1449	-	-	11.0815	9.62582	12.5372	OK
ORF_7	-	-	ORF_7	-	-	refORF_7:0-1089	-	-	306.408	297.511	315.306	OK
ORF_8	-	-	ORF_8	-	-	refORF_8:0-1071	-	-	546.73	534.554	558.907	OK
ORF_9	-	-	ORF_9	-	-	refORF_9:0-1194	-	-	31.7128	28.974	34.4515	OK
ORF_10	-	-	ORF_10	-	-	refORF_10:0-489	-	-	1022.93	994.972	1050.88	OK
ORF_11	-	-	ORF_11	-	-	refORF_11:0-2889	-	-	5.64126	4.93666	6.34586	OK
ORF_12	-	-	ORF_12	-	-	refORF_12:0-369	-	-	91.438	80.708	102.168	OK
ORF_13	-	-	ORF_13	-	-	refORF_13:0-912	-	-	34.2147	30.8959	37.5335	OK
ORF_14	-	-	ORF_14	-	-	refORF_14:0-294	-	-	144.909	127.746	162.072	OK
ORF_15	-	-	ORF_15	-	-	refORF_15:0-1791	-	-	197.986	192.607	203.365	OK
ORF_16	-	-	ORF_16	-	-	refORF_16:0-1425	-	-	92.8465	88.6744	97.0186	OK
ORF_17	-	-	ORF_17	-	-	refORF_17:0-708	-	-	117.257	110.004	124.511	OK
ORF_18	-	-	ORF_18	-	-	refORF_18:0-6531	-	-	19.7699	18.9178	20.6221	OK
ORF_19	-	-	ORF_19	-	-	refORF_19:0-849	-	-	17.6295	15.1295	20.1295	OK
ORF_20	-	-	ORF_20	-	-	refORF_20:0-1047	-	-	71.5647	67.156	75.9733	OK
ORF_21	-	-	ORF_21	-	-	refORF_21:0-339	-	-	376.676	353.032	400.319	OK
ORF_22	-	-	ORF_22	-	-	refORF_22:0-1275	-	-	29.6315	27.0852	32.1777	OK
ORF_23	-	-	ORF_23	-	-	refORF_23:0-1197	-	-	149.373	143.518	155.229	OK
ORF_24	-	-	ORF_24	-	-	refORF_24:0-3156	-	-	11.7987	10.824	12.7735	OK
ORF_25	-	-	ORF_25	-	-	refORF_25:0-828	-	-	2.97353	1.93294	4.01412	OK
ORF_26	-	-	ORF_26	-	-	refORF_26:0-528	-	-	348.383	333.083	363.682	OK
ORF_27	-	-	ORF_27	-	-	refORF_27:0-1260	-	-	41.3366	38.3259	44.3474	OK
ORF_28	-	-	ORF_28	-	-	refORF_28:0-1647	-	-	124.207	119.762	128.652	OK
ORF_29	-	-	ORF_29	-	-	refORF_29:0-1899	-	-	12.8626	11.5354	14.1898	OK
ORF_30	-	-	ORF_30	-	-	refORF_30:0-1464	-	-	18.632	16.7917	20.4724	OK
ORF_31	-	-	ORF_31	-	-	refORF_31:0-594	-	-	49.1187	43.803	54.4344	OK
ORF_32	-	-	ORF_32	-	-	refORF_32:0-2676	-	-	21.5935	20.1565	23.0306	OK
ORF_33	-	-	ORF_33	-	-	refORF_33:0-558	-	-	41.4376	36.3224	46.5528	OK
ORF_34	-	-	ORF_34	-	-	refORF_34:0-1860	-	-	91.8169	88.2457	95.3882	OK
ORF_35	-	-	ORF_35	-	-	refORF_35:0-879	-	-	712.881	697.166	728.597	OK
ORF_36	-	-	ORF_36	-	-	refORF_36:0-2667	-	-	18.8103	17.472	20.1485	OK
ORF_37	-	-	ORF_37	-	-	refORF_37:0-1959	-	-	34.2688	32.1297	36.4078	OK
ORF_38	-	-	ORF_38	-	-	refORF_38:0-2619	-	-	87.365	84.4696	90.2604	OK
ORF_39	-	-	ORF_39	-	-	refORF_39:0-858	-	-	51.9273	47.6457	56.2088	OK
ORF_40	-	-	ORF_40	-	-	refORF_40:0-1107	-	-	6.35913	5.08786	7.63039	OK
ORF_41	-	-	ORF_41	-	-	refORF_41:0-498	-	-	45.7802	39.8811	51.6792	OK
ORF_42	-	-	ORF_42	-	-	refORF_42:0-720	-	-	31.1495	27.4601	34.8389	OK
ORF_43	-	-	ORF_43	-	-	refORF_43:0-1329	-	-	262.825	255.489	270.16	OK
ORF_44	-	-	ORF_44	-	-	refORF_44:0-2283	-	-	21.5252	19.9692	23.0812	OK
ORF_45	-	-	ORF_45	-	-	refORF_45:0-1086	-	-	14.4951	12.5301	16.46	OK
ORF_46	-	-	ORF_46	-	-	refORF_46:0-438	-	-	364.692	346.471	382.914	OK
ORF_47	-	-	ORF_47	-	-	refORF_47:0-1065	-	-	20.907	18.5499	23.2641	OK
ORF_48	-	-	ORF_48	-	-	refORF_48:0-2748	-	-	17.4218	16.1537	18.6899	OK
ORF_49	-	-	ORF_49	-	-	refORF_49:0-408	-	-	149.237	136.67	161.804	OK
ORF_50	-	-	ORF_50	-	-	refORF_50:0-6915	-	-	15.5687	14.8343	16.303	OK
ORF_51	-	-	ORF_51	-	-	refORF_51:0-2136	-	-	92.8131	89.4856	96.1406	OK
ORF_52	-	-	ORF_52	-	-	refORF_52:0-366	-	-	56.8037	48.2304	65.3769	OK
ORF_53	-	-	ORF_53	-	-	refORF_53:0-1239	-	-	603.92	592.207	615.632	OK
ORF_54	-	-	ORF_54	-	-	refORF_54:0-2415	-	-	5.84635	5.05197	6.64072	OK
ORF_55	-	-	ORF_55	-	-	refORF_55:0-960	-	-	20.1322	17.6458	22.6186	OK
ORF_56	-	-	ORF_56	-	-	refORF_56:0-627	-	-	5.22821	3.56518	6.89124	OK
ORF_57	-	-	ORF_57	-	-	refORF_57:0-648	-	-	328.8	315.987	341.613	OK
ORF_58	-	-	ORF_58	-	-	refORF_58:0-954	-	-	8.37182	6.78258	9.96105	OK
ORF_59	-	-	ORF_59	-	-	refORF_59:0-1089	-	-	4.62309	3.51493	5.73126	OK
ORF_60	-	-	ORF_60	-	-	refORF_60:0-1512	-	-	46.8278	43.9465	49.7091	OK
ORF_61	-	-	ORF_61	-	-	refORF_61:0-1314	-	-	11.7843	10.2067	13.3618	OK
ORF_62	-	-	ORF_62	-	-	refORF_62:0-3375	-	-	10.3326	9.45139	11.2137	OK
ORF_63	-	-	ORF_63	-	-	refORF_63:0-2598	-	-	31.192	29.4507	32.9333	OK
ORF_64	-	-	ORF_64	-	-	refORF_64:0-495	-	-	79.9981	72.2657	87.7304	OK
ORF_65	-	-	ORF_65	-	-	refORF_65:0-2373	-	-	17.3431	15.9755	18.7107	OK
ORF_66	-	-	ORF_66	-	-	refORF_66:0-1722	-	-	54.5597	51.6848	57.4345	OK
ORF_67	-	-	ORF_67	-	-	refORF_67:0-1137	-	-	134.413	128.687	140.14	OK
ORF_68	-	-	ORF_68	-	-	refORF_68:0-510	-	-	64.8397	58.0065	71.673	OK
