tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
ORF_1	-	-	ORF_1	-	-	refORF_1:0-2019	-	-	21.6542	20.1185	23.1898	OK
ORF_2	-	-	ORF_2	-	-	refORF_2:0-1074	-	-	12.3423	10.6621	14.0226	OK
ORF_3	-	-	ORF_3	-	-	refORF_3:0-1284	-	-	117.191	112.602	121.78	OK
ORF_4	-	-	ORF_4	-	-	refORF_4:0-1188	-	-	80.9899	76.9937	84.986	OK
ORF_5	-	-	ORF_5	-	-	refORF_5:0-441	-	-	77.7837	70.1008	85.4667	OK
ORF_6	-	-	ORF_6	-	-	refORF_6:0-1449	-	-	8.9278	7.73264	10.123	OK
ORF_7	-	-	ORF_7	-	-	refORF_7:0-1089	-	-	222.577	215.589	229.565	OK
ORF_8	-	-	ORF_8	-	-	refORF_8:0-1071	-	-	571.493	560.044	582.941	OK
ORF_9	-	-	ORF_9	-	-	refORF_9:0-1194	-	-	18.6394	16.7261	20.5527	OK
ORF_10	-	-	ORF_10	-	-	refORF_10:0-489	-	-	1044.21	1018.05	1070.38	OK
ORF_11	-	-	ORF_11	-	-	refORF_11:0-2889	-	-	3.99881	3.44906	4.54856	OK
ORF_12	-	-	ORF_12	-	-	refORF_12:0-369	-	-	122.387	110.995	133.779	OK
ORF_13	-	-	ORF_13	-	-	refORF_13:0-912	-	-	32.0436	29.0841	35.0032	OK
ORF_14	-	-	ORF_14	-	-	refORF_14:0-294	-	-	115.518	101.345	129.692	OK
ORF_15	-	-	ORF_15	-	-	refORF_15:0-1791	-	-	178.104	173.401	182.807	OK
ORF_16	-	-	ORF_16	-	-	refORF_16:0-1425	-	-	121.955	117.553	126.358	OK
ORF_17	-	-	ORF_17	-	-	refORF_17:0-708	-	-	97.5856	91.4853	103.686	OK
ORF_18	-	-	ORF_18	-	-	refORF_18:0-6531	-	-	13.839	13.1824	14.4955	OK
ORF_19	-	-	ORF_19	-	-	refORF_19:0-849	-	-	16.9397	14.672	19.2075	OK
ORF_20	-	-	ORF_20	-	-	refORF_20:0-1047	-	-	111.688	106.639	116.738	OK
ORF_21	-	-	ORF_21	-	-	refORF_21:0-339	-	-	376.537	354.848	398.226	OK
ORF_22	-	-	ORF_22	-	-	refORF_22:0-1275	-	-	12.7869	11.2555	14.3184	OK
ORF_23	-	-	ORF_23	-	-	refORF_23:0-1197	-	-	145.951	140.621	151.28	OK
ORF_24	-	-	ORF_24	-	-	refORF_24:0-3156	-	-	10.0391	9.21192	10.8662	OK
ORF_25	-	-	ORF_25	-	-	refORF_25:0-828	-	-	2.44389	1.57813	3.30964	OK
ORF_26	-	-	ORF_26	-	-	refORF_26:0-528	-	-	390.994	376.066	405.921	OK
ORF_27	-	-	ORF_27	-	-	refORF_27:0-1260	-	-	22.5849	20.5336	24.6363	OK
ORF_28	-	-	ORF_28	-	-	refORF_28:0-1647	-	-	103.023	99.2949	106.751	OK
ORF_29	-	-	ORF_29	-	-	refORF_29:0-1899	-	-	6.70523	5.81135	7.59912	OK
ORF_30	-	-	ORF_30	-	-	refORF_30:0-1464	-	-	6.51165	5.50283	7.52047	OK
ORF_31	-	-	ORF_31	-	-	refORF_31:0-594	-	-	511.687	495.994	527.379	OK
ORF_32	-	-	ORF_32	-	-	refORF_32:0-2676	-	-	14.3283	13.2579	15.3987	OK
ORF_33	-	-	ORF_33	-	-	refORF_33:0-558	-	-	58.2866	52.7284	63.8447	OK
ORF_34	-	-	ORF_34	-	-	refORF_34:0-1860	-	-	216.811	211.679	221.944	OK
ORF_35	-	-	ORF_35	-	-	refORF_35:0-879	-	-	607.713	594.345	621.081	OK
ORF_36	-	-	ORF_36	-	-	refORF_36:0-2667	-	-	8.9901	8.13991	9.84028	OK
ORF_37	-	-	ORF_37	-	-	refORF_37:0-1959	-	-	25.2488	23.5537	26.9438	OK
ORF_38	-	-	ORF_38	-	-	refORF_38:0-2619	-	-	107.104	104.148	110.061	OK
ORF_39	-	-	ORF_39	-	-	refORF_39:0-858	-	-	47.6626	43.9049	51.4202	OK
ORF_40	-	-	ORF_40	-	-	refORF_40:0-1107	-	-	5.07069	4.02827	6.11311	OK
ORF_41	-	-	ORF_41	-	-	refORF_41:0-498	-	-	44.6905	39.3854	49.9957	OK
ORF_42	-	-	ORF_42	-	-	refORF_42:0-720	-	-	19.2481	16.562	21.9341	OK
ORF_43	-	-	ORF_43	-	-	refORF_43:0-1329	-	-	276.138	269.163	283.114	OK
